customer_id,country,province_state,signup_date,segment
1,CA,ON,2024-01-05,SMB
2,CA,BC,2024-02-10,ENT
3,US,NY,2024-01-20,SMB
4,CA,QC,2024-03-15,ENT
5,BR,SP,2024-01-25,IND
6,US,CA,2024-04-02,SMB
7,CA,AB,2024-02-18,IND
8,BR,RJ,2024-03-30,SMB
9,US,TX,2024-02-05,ENT
10,CA,ON,2024-04-10,SMB
11,CA,ON,2024-01-12,SMB
12,CA,BC,2024-02-17,ENT
13,US,NY,2024-01-27,SMB
14,CA,QC,2024-03-22,ENT
15,BR,SP,2024-02-01,IND
16,US,CA,2024-04-09,SMB
17,CA,AB,2024-02-25,IND
18,BR,RJ,2024-04-06,SMB
19,US,TX,2024-02-12,ENT
20,CA,ON,2024-04-17,SMB
21,CA,MB,2024-01-18,SMB
22,CA,SK,2024-02-22,IND
23,US,FL,2024-03-03,ENT
24,US,WA,2024-03-19,SMB
25,BR,MG,2024-01-30,IND
26,BR,RS,2024-03-10,SMB
27,CA,NS,2024-04-01,SMB
28,CA,NB,2024-04-05,ENT
29,US,IL,2024-02-28,SMB
30,US,CO,2024-03-25,IND
